,Year,Month,Day,Extent 10^6 sq km,Miassing 10^6 sq km,Source Data,datetime,jday
21,1978,12,7,13.051,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.07/nt_19781207_n07_v1.1_n.bin'],1978-12-07,341
22,1978,12,9,13.143,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.09/nt_19781209_n07_v1.1_n.bin'],1978-12-09,343
23,1978,12,11,13.437,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.11/nt_19781211_n07_v1.1_n.bin'],1978-12-11,345
24,1978,12,13,13.603,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.13/nt_19781213_n07_v1.1_n.bin'],1978-12-13,347
25,1978,12,15,13.649,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.15/nt_19781215_n07_v1.1_n.bin'],1978-12-15,349
26,1978,12,17,13.807,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.17/nt_19781217_n07_v1.1_n.bin'],1978-12-17,351
27,1978,12,19,13.892,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.19/nt_19781219_n07_v1.1_n.bin'],1978-12-19,353
28,1978,12,21,13.996,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.21/nt_19781221_n07_v1.1_n.bin'],1978-12-21,355
29,1978,12,23,14.189,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.23/nt_19781223_n07_v1.1_n.bin'],1978-12-23,357
30,1978,12,25,14.268,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.25/nt_19781225_n07_v1.1_n.bin'],1978-12-25,359
31,1978,12,27,14.383,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.27/nt_19781227_n07_v1.1_n.bin'],1978-12-27,361
32,1978,12,29,14.5,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.29/nt_19781229_n07_v1.1_n.bin'],1978-12-29,363
33,1978,12,31,14.585,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.31/nt_19781231_n07_v1.1_n.bin'],1978-12-31,365
34,1979,1,2,14.997,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.02/nt_19790102_n07_v1.1_n.bin'],1979-01-02,2
35,1979,1,4,14.922,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.04/nt_19790104_n07_v1.1_n.bin'],1979-01-04,4
36,1979,1,6,14.929,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.06/nt_19790106_n07_v1.1_n.bin'],1979-01-06,6
37,1979,1,8,14.968,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.08/nt_19790108_n07_v1.1_n.bin'],1979-01-08,8
38,1979,1,10,15.19,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.10/nt_19790110_n07_v1.1_n.bin'],1979-01-10,10
39,1979,1,12,15.327,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.12/nt_19790112_n07_v1.1_n.bin'],1979-01-12,12
40,1979,1,14,15.352,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.14/nt_19790114_n07_v1.1_n.bin'],1979-01-14,14
41,1979,1,16,15.5,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.16/nt_19790116_n07_v1.1_n.bin'],1979-01-16,16
42,1979,1,18,15.517,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.18/nt_19790118_n07_v1.1_n.bin'],1979-01-18,18
43,1979,1,20,15.709,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.20/nt_19790120_n07_v1.1_n.bin'],1979-01-20,20
44,1979,1,22,15.679,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.22/nt_19790122_n07_v1.1_n.bin'],1979-01-22,22
45,1979,1,24,15.745,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.24/nt_19790124_n07_v1.1_n.bin'],1979-01-24,24
46,1979,1,26,15.686,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.26/nt_19790126_n07_v1.1_n.bin'],1979-01-26,26
47,1979,1,28,15.777,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.28/nt_19790128_n07_v1.1_n.bin'],1979-01-28,28
48,1979,1,30,15.912,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.30/nt_19790130_n07_v1.1_n.bin'],1979-01-30,30
49,1979,2,1,15.857,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.01/nt_19790201_n07_v1.1_n.bin'],1979-02-01,32
50,1979,2,3,15.839,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.03/nt_19790203_n07_v1.1_n.bin'],1979-02-03,34
51,1979,2,5,15.831,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.05/nt_19790205_n07_v1.1_n.bin'],1979-02-05,36
52,1979,2,7,15.801,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.07/nt_19790207_n07_v1.1_n.bin'],1979-02-07,38
53,1979,2,9,15.99,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.09/nt_19790209_n07_v1.1_n.bin'],1979-02-09,40
54,1979,2,11,16.099,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.11/nt_19790211_n07_v1.1_n.bin'],1979-02-11,42
55,1979,2,13,16.289,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.13/nt_19790213_n07_v1.1_n.bin'],1979-02-13,44
56,1979,2,15,16.323,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.15/nt_19790215_n07_v1.1_n.bin'],1979-02-15,46
57,1979,2,17,16.343,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.17/nt_19790217_n07_v1.1_n.bin'],1979-02-17,48
58,1979,2,19,16.291,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.19/nt_19790219_n07_v1.1_n.bin'],1979-02-19,50
59,1979,2,21,16.26,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.21/nt_19790221_n07_v1.1_n.bin'],1979-02-21,52
60,1979,2,23,16.401,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.23/nt_19790223_n07_v1.1_n.bin'],1979-02-23,54
61,1979,2,25,16.579,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.25/nt_19790225_n07_v1.1_n.bin'],1979-02-25,56
62,1979,2,27,16.551,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.02.27/nt_19790227_n07_v1.1_n.bin'],1979-02-27,58
63,1979,3,1,16.635,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.01/nt_19790301_n07_v1.1_n.bin'],1979-03-01,60
64,1979,3,3,16.457,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.03/nt_19790303_n07_v1.1_n.bin'],1979-03-03,62
65,1979,3,5,16.568,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.05/nt_19790305_n07_v1.1_n.bin'],1979-03-05,64
66,1979,3,7,16.547,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.07/nt_19790307_n07_v1.1_n.bin'],1979-03-07,66
67,1979,3,9,16.536,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.09/nt_19790309_n07_v1.1_n.bin'],1979-03-09,68
68,1979,3,11,16.513,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.11/nt_19790311_n07_v1.1_n.bin'],1979-03-11,70
69,1979,3,13,16.414,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.13/nt_19790313_n07_v1.1_n.bin'],1979-03-13,72
70,1979,3,15,16.31,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.15/nt_19790315_n07_v1.1_n.bin'],1979-03-15,74
71,1979,3,17,16.467,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.17/nt_19790317_n07_v1.1_n.bin'],1979-03-17,76
72,1979,3,19,16.505,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.19/nt_19790319_n07_v1.1_n.bin'],1979-03-19,78
73,1979,3,21,16.349,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.21/nt_19790321_n07_v1.1_n.bin'],1979-03-21,80
74,1979,3,23,16.279,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.23/nt_19790323_n07_v1.1_n.bin'],1979-03-23,82
75,1979,3,25,16.264,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.25/nt_19790325_n07_v1.1_n.bin'],1979-03-25,84
76,1979,3,27,16.06,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.27/nt_19790327_n07_v1.1_n.bin'],1979-03-27,86
77,1979,3,29,15.763,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.29/nt_19790329_n07_v1.1_n.bin'],1979-03-29,88
78,1979,3,31,15.804,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.03.31/nt_19790331_n07_v1.1_n.bin'],1979-03-31,90
79,1979,4,2,15.66,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.02/nt_19790402_n07_v1.1_n.bin'],1979-04-02,92
80,1979,4,4,15.641,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.04/nt_19790404_n07_v1.1_n.bin'],1979-04-04,94
81,1979,4,6,15.695,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.06/nt_19790406_n07_v1.1_n.bin'],1979-04-06,96
82,1979,4,8,15.794,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.08/nt_19790408_n07_v1.1_n.bin'],1979-04-08,98
83,1979,4,10,15.761,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.10/nt_19790410_n07_v1.1_n.bin'],1979-04-10,100
84,1979,4,12,15.655,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.12/nt_19790412_n07_v1.1_n.bin'],1979-04-12,102
85,1979,4,14,15.5,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.14/nt_19790414_n07_v1.1_n.bin'],1979-04-14,104
86,1979,4,16,15.454,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.16/nt_19790416_n07_v1.1_n.bin'],1979-04-16,106
87,1979,4,18,15.51,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.18/nt_19790418_n07_v1.1_n.bin'],1979-04-18,108
88,1979,4,20,15.343,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.20/nt_19790420_n07_v1.1_n.bin'],1979-04-20,110
89,1979,4,22,15.255,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.22/nt_19790422_n07_v1.1_n.bin'],1979-04-22,112
90,1979,4,24,15.224,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.24/nt_19790424_n07_v1.1_n.bin'],1979-04-24,114
91,1979,4,26,15.141,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.26/nt_19790426_n07_v1.1_n.bin'],1979-04-26,116
92,1979,4,28,15.108,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.28/nt_19790428_n07_v1.1_n.bin'],1979-04-28,118
93,1979,4,30,14.961,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.04.30/nt_19790430_n07_v1.1_n.bin'],1979-04-30,120
94,1979,5,2,14.626,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.02/nt_19790502_n07_v1.1_n.bin'],1979-05-02,122
95,1979,5,4,14.498,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.04/nt_19790504_n07_v1.1_n.bin'],1979-05-04,124
96,1979,5,6,14.45,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.06/nt_19790506_n07_v1.1_n.bin'],1979-05-06,126
97,1979,5,8,14.325,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.08/nt_19790508_n07_v1.1_n.bin'],1979-05-08,128
98,1979,5,10,14.149,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.10/nt_19790510_n07_v1.1_n.bin'],1979-05-10,130
99,1979,5,12,14.012,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.12/nt_19790512_n07_v1.1_n.bin'],1979-05-12,132
100,1979,5,14,13.836,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.14/nt_19790514_n07_v1.1_n.bin'],1979-05-14,134
101,1979,5,16,13.862,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.16/nt_19790516_n07_v1.1_n.bin'],1979-05-16,136
102,1979,5,18,13.691,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.18/nt_19790518_n07_v1.1_n.bin'],1979-05-18,138
103,1979,5,20,13.56,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.20/nt_19790520_n07_v1.1_n.bin'],1979-05-20,140
104,1979,5,22,13.529,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.22/nt_19790522_n07_v1.1_n.bin'],1979-05-22,142
105,1979,5,24,13.364,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.24/nt_19790524_n07_v1.1_n.bin'],1979-05-24,144
106,1979,5,26,13.399,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.26/nt_19790526_n07_v1.1_n.bin'],1979-05-26,146
107,1979,5,28,13.292,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.28/nt_19790528_n07_v1.1_n.bin'],1979-05-28,148
108,1979,5,30,13.26,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.05.30/nt_19790530_n07_v1.1_n.bin'],1979-05-30,150
109,1979,6,1,13.076,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.01/nt_19790601_n07_v1.1_n.bin'],1979-06-01,152
110,1979,6,3,12.977,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.03/nt_19790603_n07_v1.1_n.bin'],1979-06-03,154
111,1979,6,5,12.832,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.05/nt_19790605_n07_v1.1_n.bin'],1979-06-05,156
112,1979,6,7,12.791,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.07/nt_19790607_n07_v1.1_n.bin'],1979-06-07,158
113,1979,6,9,12.854,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.09/nt_19790609_n07_v1.1_n.bin'],1979-06-09,160
114,1979,6,11,12.733,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.11/nt_19790611_n07_v1.1_n.bin'],1979-06-11,162
115,1979,6,13,12.673,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.13/nt_19790613_n07_v1.1_n.bin'],1979-06-13,164
116,1979,6,15,12.548,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.15/nt_19790615_n07_v1.1_n.bin'],1979-06-15,166
117,1979,6,17,12.517,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.17/nt_19790617_n07_v1.1_n.bin'],1979-06-17,168
118,1979,6,19,12.415,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.19/nt_19790619_n07_v1.1_n.bin'],1979-06-19,170
119,1979,6,21,12.373,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.21/nt_19790621_n07_v1.1_n.bin'],1979-06-21,172
120,1979,6,23,12.243,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.23/nt_19790623_n07_v1.1_n.bin'],1979-06-23,174
121,1979,6,25,12.112,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.25/nt_19790625_n07_v1.1_n.bin'],1979-06-25,176
122,1979,6,27,11.977,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.27/nt_19790627_n07_v1.1_n.bin'],1979-06-27,178
123,1979,6,29,11.829,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.06.29/nt_19790629_n07_v1.1_n.bin'],1979-06-29,180
124,1979,7,1,11.562,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.01/nt_19790701_n07_v1.1_n.bin'],1979-07-01,182
125,1979,7,3,11.363,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.03/nt_19790703_n07_v1.1_n.bin'],1979-07-03,184
126,1979,7,5,11.255,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.05/nt_19790705_n07_v1.1_n.bin'],1979-07-05,186
127,1979,7,7,10.936,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.07/nt_19790707_n07_v1.1_n.bin'],1979-07-07,188
128,1979,7,9,10.793,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.09/nt_19790709_n07_v1.1_n.bin'],1979-07-09,190
129,1979,7,11,10.662,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.11/nt_19790711_n07_v1.1_n.bin'],1979-07-11,192
130,1979,7,13,10.503,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.13/nt_19790713_n07_v1.1_n.bin'],1979-07-13,194
131,1979,7,15,10.401,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.15/nt_19790715_n07_v1.1_n.bin'],1979-07-15,196
132,1979,7,17,10.256,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.17/nt_19790717_n07_v1.1_n.bin'],1979-07-17,198
133,1979,7,19,9.927,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.19/nt_19790719_n07_v1.1_n.bin'],1979-07-19,200
134,1979,7,21,9.919,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.21/nt_19790721_n07_v1.1_n.bin'],1979-07-21,202
135,1979,7,23,9.668,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.23/nt_19790723_n07_v1.1_n.bin'],1979-07-23,204
136,1979,7,25,9.614,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.25/nt_19790725_n07_v1.1_n.bin'],1979-07-25,206
137,1979,7,27,9.556,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.27/nt_19790727_n07_v1.1_n.bin'],1979-07-27,208
138,1979,7,29,9.342,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.29/nt_19790729_n07_v1.1_n.bin'],1979-07-29,210
139,1979,7,31,9.223,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.07.31/nt_19790731_n07_v1.1_n.bin'],1979-07-31,212
140,1979,8,2,9.0,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.02/nt_19790802_n07_v1.1_n.bin'],1979-08-02,214
141,1979,8,4,8.859,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.04/nt_19790804_n07_v1.1_n.bin'],1979-08-04,216
142,1979,8,6,8.744,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.06/nt_19790806_n07_v1.1_n.bin'],1979-08-06,218
143,1979,8,8,8.61,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.08/nt_19790808_n07_v1.1_n.bin'],1979-08-08,220
144,1979,8,10,8.328,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.10/nt_19790810_n07_v1.1_n.bin'],1979-08-10,222
145,1979,8,12,8.284,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.12/nt_19790812_n07_v1.1_n.bin'],1979-08-12,224
146,1979,8,14,8.138,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.14/nt_19790814_n07_v1.1_n.bin'],1979-08-14,226
147,1979,8,16,7.971,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.16/nt_19790816_n07_v1.1_n.bin'],1979-08-16,228
148,1979,8,18,7.811,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.18/nt_19790818_n07_v1.1_n.bin'],1979-08-18,230
149,1979,8,20,7.659,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.20/nt_19790820_n07_v1.1_n.bin'],1979-08-20,232
150,1979,8,22,7.566,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.22/nt_19790822_n07_v1.1_n.bin'],1979-08-22,234
151,1979,8,24,7.577,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.24/nt_19790824_n07_v1.1_n.bin'],1979-08-24,236
152,1979,8,26,7.421,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.26/nt_19790826_n07_v1.1_n.bin'],1979-08-26,238
153,1979,8,28,7.364,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.28/nt_19790828_n07_v1.1_n.bin'],1979-08-28,240
154,1979,8,30,7.284,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.08.30/nt_19790830_n07_v1.1_n.bin'],1979-08-30,242
155,1979,9,1,7.228,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.01/nt_19790901_n07_v1.1_n.bin'],1979-09-01,244
156,1979,9,3,7.147,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.03/nt_19790903_n07_v1.1_n.bin'],1979-09-03,246
157,1979,9,5,7.037,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.05/nt_19790905_n07_v1.1_n.bin'],1979-09-05,248
158,1979,9,7,7.075,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.07/nt_19790907_n07_v1.1_n.bin'],1979-09-07,250
159,1979,9,9,7.092,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.09/nt_19790909_n07_v1.1_n.bin'],1979-09-09,252
160,1979,9,11,6.981,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.11/nt_19790911_n07_v1.1_n.bin'],1979-09-11,254
161,1979,9,13,7.003,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.13/nt_19790913_n07_v1.1_n.bin'],1979-09-13,256
162,1979,9,15,7.007,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.15/nt_19790915_n07_v1.1_n.bin'],1979-09-15,258
163,1979,9,17,7.001,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.17/nt_19790917_n07_v1.1_n.bin'],1979-09-17,260
164,1979,9,19,6.91,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.19/nt_19790919_n07_v1.1_n.bin'],1979-09-19,262
165,1979,9,21,6.895,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.21/nt_19790921_n07_v1.1_n.bin'],1979-09-21,264
166,1979,9,23,7.033,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.23/nt_19790923_n07_v1.1_n.bin'],1979-09-23,266
167,1979,9,25,7.058,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.25/nt_19790925_n07_v1.1_n.bin'],1979-09-25,268
168,1979,9,27,7.127,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.27/nt_19790927_n07_v1.1_n.bin'],1979-09-27,270
169,1979,9,29,7.173,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.09.29/nt_19790929_n07_v1.1_n.bin'],1979-09-29,272
170,1979,10,1,7.404,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.01/nt_19791001_n07_v1.1_n.bin'],1979-10-01,274
171,1979,10,3,7.534,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.03/nt_19791003_n07_v1.1_n.bin'],1979-10-03,276
172,1979,10,5,7.813,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.05/nt_19791005_n07_v1.1_n.bin'],1979-10-05,278
173,1979,10,7,7.878,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.07/nt_19791007_n07_v1.1_n.bin'],1979-10-07,280
174,1979,10,9,8.115,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.09/nt_19791009_n07_v1.1_n.bin'],1979-10-09,282
175,1979,10,11,8.136,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.11/nt_19791011_n07_v1.1_n.bin'],1979-10-11,284
176,1979,10,13,8.338,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.13/nt_19791013_n07_v1.1_n.bin'],1979-10-13,286
177,1979,10,15,8.57,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.15/nt_19791015_n07_v1.1_n.bin'],1979-10-15,288
178,1979,10,17,8.938,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.17/nt_19791017_n07_v1.1_n.bin'],1979-10-17,290
179,1979,10,19,9.19,0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.10.19/nt_19791019_n07_v1.1_n.bin'],1979-10-19,292
